GBL-0421-02574,HYATT CORPORATION,GRAND HYATT ATLANTA CASSIS MAIN FACILITY,Accommodation and Food Services,2025-01-28 14:04:34,721110,Hotels (except Casino Hotels) and Motels ,,3300,PEACHTREE,RD,NE,,ATLANTA,GA,30305,3300 PEACHTREE RD ATLANTA GA 30305,"3300 Peachtree Rd NE, Atlanta, Georgia, 30305",-84.37032981,33.84514882,FALSE,7,B
GBL-0421-02574,HYATT CORPORATION,GRAND HYATT ATLANTA CASSIS MAIN FACILITY,Accommodation and Food Services,2025-01-28 14:04:34,721110,Hotels (except Casino Hotels) and Motels ,,3300,PEACHTREE,RD,NE,,ATLANTA,GA,30305,3300 PEACHTREE RD ATLANTA GA 30305,"3300 Peachtree Rd NE, Atlanta, Georgia, 30305",-84.37032981,33.84514882,FALSE,7,B
GBL-0421-02692,"Highgate Hotels, L.P.",Residence Inn by Marriott Atlanta Downtown,Accommodation and Food Services,2025-02-12 13:05:48,721110,Hotels (except Casino Hotels) and Motels ,NW,134 Peachtree Street,,,,,Atlanta,GA,30303,134 Peachtree Street nan nan Atlanta GA 30303,"134 Peachtree St, Atlanta, Georgia, 30303",-84.38819374,33.75720481,FALSE,2,M
GBL-0421-02692,"Highgate Hotels, L.P.",Residence Inn by Marriott Atlanta Downtown,Accommodation and Food Services,2025-02-12 13:05:48,721110,Hotels (except Casino Hotels) and Motels ,NW,134 Peachtree Street,,,,,Atlanta,GA,30303,134 Peachtree Street nan nan Atlanta GA 30303,"134 Peachtree St, Atlanta, Georgia, 30303",-84.38819374,33.75720481,FALSE,2,M
GBL-0422-12127,Mogar  Farms V,Inn at The Peachtree,Accommodation and Food Services,2025-02-11 11:35:30,721110,Hotels (except Casino Hotels) and Motels ,W,330,Peachtree ,ST,NW,,Atlanta,GA,30308,330 Peachtree  ST Atlanta GA 30308,"330 Peachtree St NE, Atlanta, Georgia, 30308",-84.38701717,33.76354869,FALSE,2,M
GBL-0521-03518,OMNI INTERNATIONAL HOTEL,,Accommodation and Food Services,2025-01-23 07:04:58,721110,Hotels (except Casino Hotels) and Motels ,,190,MARIETTA,ST,NW,100CNN CTR,ATLANTA,GA,30335,190 MARIETTA ST ATLANTA GA 30335,"190 Marietta St NW, Atlanta, Georgia, 30303",-84.39472752,33.7577537,FALSE,4,M
GBL-0521-03518,OMNI INTERNATIONAL HOTEL,,Accommodation and Food Services,2025-01-23 07:04:58,721110,Hotels (except Casino Hotels) and Motels ,,190,MARIETTA,ST,NW,100CNN CTR,ATLANTA,GA,30335,190 MARIETTA ST ATLANTA GA 30335,"190 Marietta St NW, Atlanta, Georgia, 30303",-84.39472752,33.7577537,FALSE,4,M
GBL-0524-30601,"Merritt Hospitality, LLC",Kimpton Sylvan Hotel,Accommodation and Food Services,2025-02-16 18:37:10,721110,Hotels (except Casino Hotels) and Motels ,E,374,PACES FERRY,RD,NE,,Atlanta,GA,30305,374 PACES FERRY RD Atlanta GA 30305,"374 E Paces Ferry Rd NE, Atlanta, Georgia, 30305",-84.37499367,33.83945068,FALSE,7,B
GBL-0524-31030,Method Hospitality LLC,Forth Atlanta,Accommodation and Food Services,2025-02-03 17:04:35,721110,Hotels (except Casino Hotels) and Motels ,,800 Rankin Street,,,,,Atlanta,GA,30308,800 Rankin Street nan nan Atlanta GA 30308,"800 Rankin St NE, Atlanta, Georgia, 30308",-84.36370559,33.76866614,FALSE,2,M
GBL-0524-31030,Method Hospitality LLC,Forth Atlanta,Accommodation and Food Services,2025-02-03 17:04:35,721110,Hotels (except Casino Hotels) and Motels ,,800 Rankin Street,,,,,Atlanta,GA,30308,800 Rankin Street nan nan Atlanta GA 30308,"800 Rankin St NE, Atlanta, Georgia, 30308",-84.36370559,33.76866614,FALSE,2,M
GBL-0524-31094,"RMA Overline, LLC",Forth Atlanta,Accommodation and Food Services,2025-02-28 23:05:37,721110,Hotels (except Casino Hotels) and Motels ,,800 Rankin Street,,,,,Atlanta,GA,30308,800 Rankin Street nan nan Atlanta GA 30308,"800 Rankin St NE, Atlanta, Georgia, 30308",-84.36370559,33.76866614,FALSE,2,M
GBL-0621-03668,WALDORF ASTORIA HOTEL,,Accommodation and Food Services,2025-01-16 11:11:02,721110,Hotels (except Casino Hotels) and Motels ,,3376,PEACHTREE,RD,NE,,ATLANTA,GA,30326,3376 PEACHTREE RD ATLANTA GA 30326,"3376 Peachtree Rd NE, Atlanta, Georgia, 30326",-84.3666126,33.84957204,FALSE,7,B
GBL-0621-03673,MOTEL 6,,Accommodation and Food Services,2025-01-14 13:11:12,721110,Hotels (except Casino Hotels) and Motels ,,311,COURTLAND,ST,NE,,ATLANTA,GA,30303,311 COURTLAND ST ATLANTA GA 30303,"311 Courtland St NE, Atlanta, Georgia, 30303",-84.3836769,33.76304544,FALSE,5,M
GBL-0621-03806,"COLUMBIA SUSSEX MANAGEMENT, LLC",RENAISSANCE ATLANTA CONCOURSE HOTEL,Accommodation and Food Services,2025-02-12 17:06:17,721110,Hotels (except Casino Hotels) and Motels ,,1,HARTSFIELD CENTER,PKWY,SW,,ATLANTA,GA,30354,1 HARTSFIELD CENTER PKWY ATLANTA GA 30354,"1 Hartsfield Center Pkwy, Atlanta, Georgia, 30354",-84.42685343,33.65445512,FALSE,12,X
GBL-0621-03828,HYATT CORPORATION,HYATT REGENCY ATLANTA,Accommodation and Food Services,2025-02-13 09:09:55,721110,Hotels (except Casino Hotels) and Motels ,,265,PEACHTREE,ST,NE,,ATLANTA,GA,30303,265 PEACHTREE ST ATLANTA GA 30303,"265 Peachtree St NE, Atlanta, Georgia, 30303",-84.38670344,33.76148993,FALSE,2,M
GBL-0621-03828,HYATT CORPORATION,HYATT REGENCY ATLANTA,Accommodation and Food Services,2025-02-13 09:09:55,721110,Hotels (except Casino Hotels) and Motels ,,265,PEACHTREE,ST,NE,,ATLANTA,GA,30303,265 PEACHTREE ST ATLANTA GA 30303,"265 Peachtree St NE, Atlanta, Georgia, 30303",-84.38670344,33.76148993,FALSE,2,M
GBL-0621-03828,HYATT CORPORATION,HYATT REGENCY ATLANTA,Accommodation and Food Services,2025-02-13 09:09:55,721110,Hotels (except Casino Hotels) and Motels ,,265,PEACHTREE,ST,NE,,ATLANTA,GA,30303,265 PEACHTREE ST ATLANTA GA 30303,"265 Peachtree St NE, Atlanta, Georgia, 30303",-84.38670344,33.76148993,FALSE,2,M
